Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,071NSETEST,36702,FUTSTK,XX,-1,071NSETEST,071NSETEST NOV36 FUT,071NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,GLENMARK,36703,OPTSTK,CE,2480,GLENMARK PHARMACEUTICALS,GLENMARK SEP 2480 CE,GLENMARK30SEP25C2480,2025-09-30,375,0.05
NFO,nse_fo,GLENMARK,36704,OPTSTK,PE,2480,GLENMARK PHARMACEUTICALS,GLENMARK SEP 2480 PE,GLENMARK30SEP25P2480,2025-09-30,375,0.05
NFO,nse_fo,081NSETEST,36709,FUTSTK,XX,-1,081NSETEST,081NSETEST NOV36 FUT,081NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,091NSETEST,36713,FUTSTK,XX,-1,091NSETEST,091NSETEST NOV36 FUT,091NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,101NSETEST,36715,FUTSTK,XX,-1,101NSETEST,101NSETEST NOV36 FUT,101NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,111NSETEST,36716,FUTSTK,XX,-1,111NSETEST,111NSETEST NOV36 FUT,111NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,121NSETEST,36718,FUTSTK,XX,-1,121NSETEST,121NSETEST NOV36 FUT,121NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,131NSETEST,36720,FUTSTK,XX,-1,131NSETEST,131NSETEST NOV36 FUT,131NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,141NSETEST,36721,FUTSTK,XX,-1,141NSETEST,141NSETEST NOV36 FUT,141NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,151NSETEST,36724,FUTSTK,XX,-1,151NSETEST,151NSETEST NOV36 FUT,151NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,161NSETEST,36725,FUTSTK,XX,-1,161NSETEST,161NSETEST NOV36 FUT,161NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,HAL,36878,OPTSTK,CE,5300,HINDUSTAN AERONAUTICS LTD,HAL JUL 5300 CE,HAL31JUL25C5300,2025-07-31,150,0.05
NFO,nse_fo,HAL,36911,OPTSTK,PE,5300,HINDUSTAN AERONAUTICS LTD,HAL JUL 5300 PE,HAL31JUL25P5300,2025-07-31,150,0.05
NFO,nse_fo,MFSL,36929,OPTSTK,CE,1640,MAX FINANCIAL SERV LTD,MFSL JUL 1640 CE,MFSL31JUL25C1640,2025-07-31,800,0.05
NFO,nse_fo,MFSL,36930,OPTSTK,PE,1640,MAX FINANCIAL SERV LTD,MFSL JUL 1640 PE,MFSL31JUL25P1640,2025-07-31,800,0.05
NFO,nse_fo,HDFCLIFE,36960,OPTSTK,CE,890,HDFC LIFE INS CO LTD,HDFCLIFE JUL 890 CE,HDFCLIFE31JUL25C890,2025-07-31,1100,0.05
NFO,nse_fo,HDFCLIFE,36978,OPTSTK,PE,890,HDFC LIFE INS CO LTD,HDFCLIFE JUL 890 PE,HDFCLIFE31JUL25P890,2025-07-31,1100,0.05
NFO,nse_fo,HINDCOPPER,37000,OPTSTK,CE,310,HINDUSTAN COPPER LTD,HINDCOPPER JUL 310 CE,HINDCOPPER31JUL25C310,2025-07-31,2650,0.05
NFO,nse_fo,HINDCOPPER,37001,OPTSTK,PE,310,HINDUSTAN COPPER LTD,HINDCOPPER JUL 310 PE,HINDCOPPER31JUL25P310,2025-07-31,2650,0.05
NFO,nse_fo,TATAELXSI,37029,OPTSTK,CE,4900,TATA ELXSI LIMITED,TATAELXSI AUG 4900 CE,TATAELXSI28AUG25C4900,2025-08-28,100,0.05
NFO,nse_fo,TATAELXSI,37030,OPTSTK,PE,4900,TATA ELXSI LIMITED,TATAELXSI AUG 4900 PE,TATAELXSI28AUG25P4900,2025-08-28,100,0.05
NFO,nse_fo,ABCAPITAL,37145,OPTSTK,CE,310,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL AUG 310 CE,ABCAPITAL28AUG25C310,2025-08-28,3100,0.05
NFO,nse_fo,ABCAPITAL,37146,OPTSTK,PE,310,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL AUG 310 PE,ABCAPITAL28AUG25P310,2025-08-28,3100,0.05
NFO,nse_fo,IGL,37254,OPTSTK,CE,245,INDRAPRASTHA GAS LTD,IGL JUL 245 CE,IGL31JUL25C245,2025-07-31,2750,0.05
NFO,nse_fo,IGL,37257,OPTSTK,PE,245,INDRAPRASTHA GAS LTD,IGL JUL 245 PE,IGL31JUL25P245,2025-07-31,2750,0.05
NFO,nse_fo,LAURUSLABS,37262,OPTSTK,CE,860,LAURUS LABS LIMITED,LAURUSLABS JUL 860 CE,LAURUSLABS31JUL25C860,2025-07-31,1700,0.05
NFO,nse_fo,LAURUSLABS,37263,OPTSTK,PE,860,LAURUS LABS LIMITED,LAURUSLABS JUL 860 PE,LAURUSLABS31JUL25P860,2025-07-31,1700,0.05
NFO,nse_fo,LTF,37275,OPTSTK,CE,235,L&T FINANCE LIMITED,LTF JUL 235 CE,LTF31JUL25C235,2025-07-31,4462,0.05
NFO,nse_fo,LTF,37290,OPTSTK,PE,235,L&T FINANCE LIMITED,LTF JUL 235 PE,LTF31JUL25P235,2025-07-31,4462,0.05
NFO,nse_fo,LTF,37291,OPTSTK,CE,240,L&T FINANCE LIMITED,LTF AUG 240 CE,LTF28AUG25C240,2025-08-28,4462,0.05
NFO,nse_fo,LTF,37292,OPTSTK,PE,240,L&T FINANCE LIMITED,LTF AUG 240 PE,LTF28AUG25P240,2025-08-28,4462,0.05
NFO,nse_fo,MFSL,37349,OPTSTK,CE,1820,MAX FINANCIAL SERV LTD,MFSL JUL 1820 CE,MFSL31JUL25C1820,2025-07-31,800,0.05
NFO,nse_fo,MFSL,37350,OPTSTK,PE,1820,MAX FINANCIAL SERV LTD,MFSL JUL 1820 PE,MFSL31JUL25P1820,2025-07-31,800,0.05
NFO,nse_fo,SBILIFE,37403,OPTSTK,CE,2040,SBI LIFE INSURANCE CO LTD,SBILIFE JUL 2040 CE,SBILIFE31JUL25C2040,2025-07-31,375,0.05
NFO,nse_fo,SBILIFE,37404,OPTSTK,PE,2040,SBI LIFE INSURANCE CO LTD,SBILIFE JUL 2040 PE,SBILIFE31JUL25P2040,2025-07-31,375,0.05
NFO,nse_fo,JIOFIN,37441,OPTSTK,CE,350,JIO FIN SERVICES LTD,JIOFIN JUL 350 CE,JIOFIN31JUL25C350,2025-07-31,2350,0.05
NFO,nse_fo,JIOFIN,37442,OPTSTK,PE,350,JIO FIN SERVICES LTD,JIOFIN JUL 350 PE,JIOFIN31JUL25P350,2025-07-31,2350,0.05
NFO,nse_fo,MCX,37557,OPTSTK,CE,9700,MULTI COMMODITY EXCHANGE,MCX JUL 9700 CE,MCX31JUL25C9700,2025-07-31,125,0.05
NFO,nse_fo,MCX,37563,OPTSTK,PE,9700,MULTI COMMODITY EXCHANGE,MCX JUL 9700 PE,MCX31JUL25P9700,2025-07-31,125,0.05
NFO,nse_fo,PRESTIGE,37595,OPTSTK,CE,1860,PRESTIGE ESTATE LTD,PRESTIGE JUL 1860 CE,PRESTIGE31JUL25C1860,2025-07-31,450,0.05
NFO,nse_fo,PRESTIGE,37596,OPTSTK,PE,1860,PRESTIGE ESTATE LTD,PRESTIGE JUL 1860 PE,PRESTIGE31JUL25P1860,2025-07-31,450,0.05
